dualMeetID,meetID,homeTeamID,awayTeamID,homeTeamPoints,awayTeamPoints
RV@LH,RV@LH2021,LH,RV,161.0,238.0
FX@W,FX@W2021,W,FX,191.0,220.0
W@PT,W@PT2021,PT,W,210.0,196.0
SS2@LH,SS2@LH2021,LH,SS2,199.0,194.0
RV@FX,RV@FX2021,FX,RV,228.0,188.0
FX@PT,FX@PT2021,PT,FX,219.0,201.0
LH@W,LH@W2021,W,LH,234.0,171.0
SS2@RV,SS2@RV2021,RV,SS2,188.0,209.0
PT@RV,PT@RV2021,RV,PT,211.0,207.0
FX@LH,FX@LH2021,LH,FX,147.0,271.0
W@SS2,W@SS22021,SS2,W,210.0,210.0
LH@PT,LH@PT2021,PT,LH,229.0,189.0
SS2@FX,SS2@FX2021,FX,SS2,240.0,176.0
W@RV,W@RV2021,RV,W,249.0,171.0
LB@PL,LB@PL2021,PL,LB,310.0,110.0
IC@H,IC@H2021,H,IC,229.0,164.0
PAR@HH,PAR@HH2021,HH,PAR,220.0,180.0
PL@PAR,PL@PAR2021,PAR,PL,134.0,285.0
LB@IC,LB@IC2021,IC,LB,136.0,273.0
HH@H,HH@H2021,H,HH,171.0,234.0
HH@PL,HH@PL2021,PL,HH,269.0,151.0
IC@PAR,IC@PAR2021,PAR,IC,232.0,177.0
H@LB,H@LB2021,LB,H,228.0,187.0
PL@H,PL@H2021,H,PL,132.0,287.0
HH@IC,HH@IC2021,IC,HH,180.0,216.0
PAR@LB,PAR@LB2021,LB,PAR,237.0,182.0
IC@PL,IC@PL2021,PL,IC,300.0,118.0
LB@HH,LB@HH2021,HH,LB,217.0,202.0
H@PAR,H@PAR2021,PAR,H,263.0,154.0
CSC@BKS,CSC@BKS2021,BKS,CSC,161.0,225.0
NF@PV,NF@PV2021,PV,NF,133.0,232.0
LP@LBR,LP@LBR2021,LBR,LP,202.0,206.0
BKS@LP,BKS@LP2021,LP,BKS,236.0,182.0
PV@CSC,PV@CSC2021,CSC,PV,242.0,159.0
NF@LBR,NF@LBR2021,LBR,NF,223.0,185.0
LBR@BKS,LBR@BKS2021,BKS,LBR,212.0,207.0
LP@PV,LP@PV2021,PV,LP,144.0,271.0
CSC@NF,CSC@NF2021,NF,CSC,193.0,218.0
BKS@NF,BKS@NF2021,NF,BKS,151.0,257.0
PV@LBR,PV@LBR2021,LBR,PV,259.0,150.0
CSC@LP,CSC@LP2021,LP,CSC,240.0,179.0
BKS@PV,BKS@PV2021,PV,BKS,151.0,256.0
LBR@CSC,LBR@CSC2021,CSC,LBR,213.0,201.0
NF@LP,NF@LP2021,LP,NF,313.0,104.0
PW@BC,PW@BC2021,BC,PW,258.0,73.0
V@S,V@S2021,S,V,152.0,223.0
NS@EP,NS@EP2021,EP,NS,31.0,325.0
BC@EP,BC@EP2021,EP,BC,24.0,262.0
V@PW,V@PW2021,PW,V,86.0,286.0
S@NS,S@NS2021,NS,S,256.0,118.0
BC@NS,BC@NS2021,NS,BC,175.0,224.0
EP@V,EP@V2021,V,EP,344.0,18.0
PW@S,PW@S2021,S,PW,227.0,134.0
S@BC,S@BC2021,BC,S,247.0,139.0
NS@V,NS@V2021,V,NS,221.0,189.0
EP@PW,EP@PW2021,PW,EP,241.0,33.0
BC@V,BC@V2021,V,BC,205.0,188.0
PW@NS,PW@NS2021,NS,PW,296.0,100.0
EP@S,EP@S2021,S,EP,309.0,47.0
