participantID,meetID,teamID
DH@HM@DH2021,HM@DH2021,DH
HM@HM@DH2021,HM@DH2021,HM
HM@G@HM2021,G@HM2021,HM
G@G@HM2021,G@HM2021,G
FMW@DL@FMW2021,DL@FMW2021,FMW
DL@DL@FMW2021,DL@FMW2021,DL
SS@DH@SS2021,DH@SS2021,SS
DH@DH@SS2021,DH@SS2021,DH
DH@G@DH2021,G@DH2021,DH
G@G@DH2021,G@DH2021,G
HM@DL@HM2021,DL@HM2021,HM
DL@DL@HM2021,DL@HM2021,DL
SS@FMW@SS2021,FMW@SS2021,SS
FMW@FMW@SS2021,FMW@SS2021,FMW
DL@D8RC2021,D8RC2021,DL
DH@D8RC2021,D8RC2021,DH
G@D8RC2021,D8RC2021,G
HM@D8RC2021,D8RC2021,HM
SS@D8RC2021,D8RC2021,SS
FMW@D8RC2021,D8RC2021,FMW
G@SS@G2021,SS@G2021,G
SS@SS@G2021,SS@G2021,SS
DL@DH@DL2021,DH@DL2021,DL
DH@DH@DL2021,DH@DL2021,DH
FMW@HM@FMW2021,HM@FMW2021,FMW
HM@HM@FMW2021,HM@FMW2021,HM
DL@G@DL2021,G@DL2021,DL
G@G@DL2021,G@DL2021,G
DH@FMW@DH2021,FMW@DH2021,DH
FMW@FMW@DH2021,FMW@DH2021,FMW
HM@SS@HM2021,SS@HM2021,HM
SS@SS@HM2021,SS@HM2021,SS
MW@GF@MW2021,GF@MW2021,MW
GF@GF@MW2021,GF@MW2021,GF
AF@LHP@AF2021,LHP@AF2021,AF
LHP@LHP@AF2021,LHP@AF2021,LHP
FS@SOR@FS2021,SOR@FS2021,FS
SOR@SOR@FS2021,SOR@FS2021,SOR
SOR@MW@SOR2021,MW@SOR2021,SOR
MW@MW@SOR2021,MW@SOR2021,MW
GF@AF@GF2021,AF@GF2021,GF
AF@AF@GF2021,AF@GF2021,AF
LHP@FS@LHP2021,FS@LHP2021,LHP
FS@FS@LHP2021,FS@LHP2021,FS
FS@MW@FS2021,MW@FS2021,FS
MW@MW@FS2021,MW@FS2021,MW
AF@SOR@AF2021,SOR@AF2021,AF
SOR@SOR@AF2021,SOR@AF2021,SOR
LHP@GF@LHP2021,GF@LHP2021,LHP
GF@GF@LHP2021,GF@LHP2021,GF
SOR@D9RC2021,D9RC2021,SOR
FS@D9RC2021,D9RC2021,FS
LHP@D9RC2021,D9RC2021,LHP
GF@D9RC2021,D9RC2021,GF
AF@D9RC2021,D9RC2021,AF
MW@D9RC2021,D9RC2021,MW
LHP@MW@LHP2021,MW@LHP2021,LHP
MW@MW@LHP2021,MW@LHP2021,MW
AF@FS@AF2021,FS@AF2021,AF
FS@FS@AF2021,FS@AF2021,FS
SOR@GF@SOR2021,GF@SOR2021,SOR
GF@GF@SOR2021,GF@SOR2021,GF
MW@AF@MW2021,AF@MW2021,MW
AF@AF@MW2021,AF@MW2021,AF
GF@FS@GF2021,FS@GF2021,GF
FS@FS@GF2021,FS@GF2021,FS
SOR@LHP@SOR2021,LHP@SOR2021,SOR
LHP@LHP@SOR2021,LHP@SOR2021,LHP
RFD@F@RFD2021,F@RFD2021,RFD
F@F@RFD2021,F@RFD2021,F
FME@CCC@FME2021,CCC@FME2021,FME
CCC@CCC@FME2021,CCC@FME2021,CCC
RG@SB@RG2021,SB@RG2021,RG
SB@SB@RG2021,SB@RG2021,SB
F@SB@F2021,SB@F2021,F
SB@SB@F2021,SB@F2021,SB
CCC@RFD@CCC2021,RFD@CCC2021,CCC
RFD@RFD@CCC2021,RFD@CCC2021,RFD
RG@FME@RG2021,FME@RG2021,RG
FME@FME@RG2021,FME@RG2021,FME
F@RG@F2021,RG@F2021,F
RG@RG@F2021,RG@F2021,RG
SB@CCC@SB2021,CCC@SB2021,SB
CCC@CCC@SB2021,CCC@SB2021,CCC
FME@RFD@FME2021,RFD@FME2021,FME
RFD@RFD@FME2021,RFD@FME2021,RFD
SB@D10RC2021,D10RC2021,SB
RFD@D10RC2021,D10RC2021,RFD
F@D10RC2021,D10RC2021,F
RG@D10RC2021,D10RC2021,RG
FME@D10RC2021,D10RC2021,FME
CCC@D10RC2021,D10RC2021,CCC
F@FME@F2021,FME@F2021,F
FME@FME@F2021,FME@F2021,FME
RG@CCC@RG2021,CCC@RG2021,RG
CCC@CCC@RG2021,CCC@RG2021,CCC
SB@RFD@SB2021,RFD@SB2021,SB
RFD@RFD@SB2021,RFD@SB2021,RFD
CCC@F@CCC2021,F@CCC2021,CCC
F@F@CCC2021,F@CCC2021,F
RFD@RG@RFD2021,RG@RFD2021,RFD
RG@RG@RFD2021,RG@RFD2021,RG
FME@SB@FME2021,SB@FME2021,FME
SB@SB@FME2021,SB@FME2021,SB
BF@SOC@BF2021,SOC@BF2021,BF
SOC@SOC@BF2021,SOC@BF2021,SOC
SRA@HP@SRA2021,HP@SRA2021,SRA
HP@HP@SRA2021,HP@SRA2021,HP
PH@CW@PH2021,CW@PH2021,PH
CW@CW@PH2021,CW@PH2021,CW
CW@SOC@CW2021,SOC@CW2021,CW
SOC@SOC@CW2021,SOC@CW2021,SOC
HP@BF@HP2021,BF@HP2021,HP
BF@BF@HP2021,BF@HP2021,BF
PH@SRA@PH2021,SRA@PH2021,PH
SRA@SRA@PH2021,SRA@PH2021,SRA
SOC@PH@SOC2021,PH@SOC2021,SOC
PH@PH@SOC2021,PH@SOC2021,PH
HP@CW@HP2021,CW@HP2021,HP
CW@CW@HP2021,CW@HP2021,CW
SRA@BF@SRA2021,BF@SRA2021,SRA
BF@BF@SRA2021,BF@SRA2021,BF
CW@D11RC2021,D11RC2021,CW
PH@D11RC2021,D11RC2021,PH
SOC@D11RC2021,D11RC2021,SOC
HP@D11RC2021,D11RC2021,HP
SRA@D11RC2021,D11RC2021,SRA
BF@D11RC2021,D11RC2021,BF
SRA@SOC@SRA2021,SOC@SRA2021,SRA
SOC@SOC@SRA2021,SOC@SRA2021,SOC
HP@PH@HP2021,PH@HP2021,HP
PH@PH@HP2021,PH@HP2021,PH
BF@CW@BF2021,CW@BF2021,BF
CW@CW@BF2021,CW@BF2021,CW
SOC@HP@SOC2021,HP@SOC2021,SOC
HP@HP@SOC2021,HP@SOC2021,HP
BF@PH@BF2021,PH@BF2021,BF
PH@PH@BF2021,PH@BF2021,PH
CW@SRA@CW2021,SRA@CW2021,CW
SRA@SRA@CW2021,SRA@CW2021,SRA
RH@A@RH2021,A@RH2021,RH
A@A@RH2021,A@RH2021,A
HRA@THA@HRA2021,THA@HRA2021,HRA
THA@THA@HRA2021,THA@HRA2021,THA
HF@RF@HF2021,RF@HF2021,HF
RF@RF@HF2021,RF@HF2021,RF
RF@A@RF2021,A@RF2021,RF
A@A@RF2021,A@RF2021,A
RH@THA@RH2021,THA@RH2021,RH
THA@THA@RH2021,THA@RH2021,THA
HRA@HF@HRA2021,HF@HRA2021,HRA
HF@HF@HRA2021,HF@HRA2021,HF
HF@A@HF2021,A@HF2021,HF
A@A@HF2021,A@HF2021,A
THA@RF@THA2021,RF@THA2021,THA
RF@RF@THA2021,RF@THA2021,RF
HRA@RH@HRA2021,RH@HRA2021,HRA
RH@RH@HRA2021,RH@HRA2021,RH
RH@D12RC2021,D12RC2021,RH
THA@D12RC2021,D12RC2021,THA
HF@D12RC2021,D12RC2021,HF
RF@D12RC2021,D12RC2021,RF
A@D12RC2021,D12RC2021,A
HRA@D12RC2021,D12RC2021,HRA
A@HRA@A2021,HRA@A2021,A
HRA@HRA@A2021,HRA@A2021,HRA
THA@HF@THA2021,HF@THA2021,THA
HF@HF@THA2021,HF@THA2021,HF
RH@RF@RH2021,RF@RH2021,RH
RF@RF@RH2021,RF@RH2021,RF
A@THA@A2021,THA@A2021,A
THA@THA@A2021,THA@A2021,THA
HF@RH@HF2021,RH@HF2021,HF
RH@RH@HF2021,RH@HF2021,RH
RF@HRA@RF2021,HRA@RF2021,RF
HRA@HRA@RF2021,HRA@RF2021,HRA
CT@FH@CT2021,FH@CT2021,CT
FH@FH@CT2021,FH@CT2021,FH
MHC@SV@MHC2021,SV@MHC2021,MHC
SV@SV@MHC2021,SV@MHC2021,SV
KR@DV@KR2021,DV@KR2021,KR
DV@DV@KR2021,DV@KR2021,DV
DV@CT@DV2021,CT@DV2021,DV
CT@CT@DV2021,CT@DV2021,CT
FH@MHC@FH2021,MHC@FH2021,FH
MHC@MHC@FH2021,MHC@FH2021,MHC
KR@SV@KR2021,SV@KR2021,KR
SV@SV@KR2021,SV@KR2021,SV
KR@CT@KR2021,CT@KR2021,KR
CT@CT@KR2021,CT@KR2021,CT
DV@MHC@DV2021,MHC@DV2021,DV
MHC@MHC@DV2021,MHC@DV2021,MHC
SV@FH@SV2021,FH@SV2021,SV
FH@FH@SV2021,FH@SV2021,FH
CT@D13RC2021,D13RC2021,CT
DV@D13RC2021,D13RC2021,DV
FH@D13RC2021,D13RC2021,FH
MHC@D13RC2021,D13RC2021,MHC
SV@D13RC2021,D13RC2021,SV
