teamID,name,abbr,location
RV2023,Rolling Valley,RV,"7019 Ashbury Dr Springfield, VA 22152"
HF2023,Hayfield Farm,HF,"7820 Hayfield Road Alexandria, VA 22315"
PAR2023,Parliament,PAR,"8510 Parliament Drive Springfield, VA 22151"
SOC2023,Somerset-Olde Creek,SOC,"9705 Laurel Street Fairfax, VA 22032"
FME2023,Fox Mill Estates,FME,"2720 Viking Drive Herndon, VA 20171"
LP2023,Lincolnia Park,LP,"6501 Montrose St Alexandria, VA 22312"
CSC2023,Commonwealth,CSC,"9800 Commonwealth Blvd Fairfax, VA 22032"
BKS2023,Burke Station,BKS,"5820 Ridge Ford Drive Burke, VA 22015"
LB2023,Lake Braddock,LB,"9528 Ashbourn Dr.Burke, VA 22015"
A2023,Annandale,A,"7530 Little River Turnpike Annandale, VA 22003"
RFD2023,Rutherford,RFD,"4609 Marley Rd.Fairfax, VA 22032"
HH2023,Hollin Hills,HH,"1602 Paul Spring Road Alexandria, VA 22307"
LBR2023,Long Branch,LBR,"9100 Burnetta Drive Annandale, VA 22003"
H2023,Herndon,H,"1114 Monroe St.Herndon, VA 20170"
V2023,Village West,V,"7008 Elkton Drive Springfield, VA 22152"
IC2023,Ilda Community,IC,Address not found on the team's page.
BC2023,Broyhill Crest,BC,"7212 Early Street Annandale, VA 22003"
PV2023,Pleasant Valley,PV,"4347 Cub Run Road Chantilly, VA 20151"
NF2023,Newington Forest,NF,"8201 Southrun Road Springfield, VA 22153"
NS2023,North Springfield,NS,Address not found on the team's page.
S2023,Springfield,S,"7400 Highland Street Springfield, VA 22150"
PW2023,Pinewood Lake,PW,"8159 Fernlake Ct.Alexandria, VA 22309"
EP2023,Edsall Park,EP,"5505 Montgomery St.Springfield, VA 22151"
T2024,Tuckahoe,T,"1814 Great Falls Street Mc Lean, VA 22101"
CB2024,Chesterbrook,CB,"1812 Kirby Road Mc Lean, VA 22101"
O2024,Overlee,O,"6030 Lee Highway Arlington, VA 22205"
DR2024,Donaldson Run,DR,"2729 Marcey Road Arlington, VA 22207"
