resultID,meetEventID,swimmerID,time,place,points,powerIndex
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,27.19,5,0.0,562.89
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_9_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.81,6,0.0,427.13
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,21.78,1,5.0,578.7
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,22.53,2,3.0,522.81
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,23.58,3,1.0,456.04
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,23.7,4,0.0,449.14
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,28.33,5,0.0,262.96
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_11_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,29.16,6,0.0,241.14
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,36.2,1,5.0,783.33
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,42.53,2,3.0,483.04
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,46.27,3,1.0,375.12
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,46.76,4,0.0,363.45
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,47.59,5,0.0,344.76
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_13_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,47.75,6,0.0,341.31
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,37.94,1,5.0,450.75
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,38.1,2,3.0,445.1
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,38.2,3,1.0,441.61
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,42.03,4,0.0,331.55
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,44.44,5,0.0,280.48
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_6,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_15_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,48.88,6,0.0,210.78
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_1,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,30.21,1,5.0,651.56
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_2,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,31.08,2,3.0,598.36
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_3,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,34.2,3,1.0,449.08
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_4,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,36.38,4,0.0,373.09
Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_5,Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021_17_Highlands_Swim(138.0)_at_Chesterbrook(282.0)_2021,36.95,5,0.0,356.09
