SV2021,Shouse Village,SV,2021,"1432 Towlston Road Vienna, VA 22182",13,1,4,0,42.16,1004.0,146.0,1218,0.0,150,1150.0,2518.0
KR2021,Kings Ridge,KR,2021,"4850 Gainsborough Drive Fairfax, VA 22032",13,0,5,0,52.83,799.5,118.0,1220,0.0,4,917.5,2141.5
FX2021,Fox Hunt,FX,2021,"7024 Spaniel Rd Springfield, VA 22153",14,4,1,0,36.7,1160.0,164.0,1588,0.0,124,1324.0,3036.0
PT2021,Poplar Tree,PT,2021,"13516 Point Pleasant Drive Chantilly, VA 20151",14,4,1,0,37.95,1089.0,190.0,1326,0.0,204,1279.0,2809.0
RV2021,Rolling Valley,RV,2021,"7019 Ashbury Dr Springfield, VA 22152",14,3,2,0,39.93,1074.0,172.0,1474,0.0,294,1246.0,3014.0
W2021,Woodley,W,2021,"7421 Camp Alger Avenue Falls Church, VA 22042",14,1,3,1,43.4,1002.0,168.0,1380,0.0,86,1170.0,2636.0
SS22021,Sully Station II,SS2,2021,"5501 Sully Park Drive Centreville, VA 20120",14,1,3,1,45.77,965.0,140.0,1184,0.0,36,1105.0,2325.0
LH2021,Laurel Hill,LH,2021,"8380 Laurel Crest Drive Lorton, VA 22079",14,1,4,0,53.91,867.0,80.0,1226,0.0,228,947.0,2401.0
PL2021,Parklawn,PL,2021,"6011 Crater Place Alexandria, va 22312",15,5,0,0,30.45,1451.0,212.0,2268,0.0,18,1663.0,3949.0
HH2021,Hollin Hills,HH,2021,"1602 Paul Spring Road Alexandria, VA 22307",15,4,1,0,43.99,1038.0,140.0,1124,0.0,26,1178.0,2328.0
LB2021,Lake Braddock,LB,2021,"9528 Ashbourn Dr.Burke, VA 22015",15,3,2,0,43.51,1050.0,170.0,1396,0.0,26,1220.0,2642.0
PAR2021,Parliament,PAR,2021,"8510 Parliament Drive Springfield, VA 22151",15,2,3,0,47.38,991.0,150.0,1318,0.0,36,1141.0,2495.0
H2021,Herndon,H,2021,"1114 Monroe St.Herndon, VA 20170",15,1,4,0,55.2,873.0,116.0,1072,0.0,88,989.0,2149.0
IC2021,Ilda Community,IC,2021,Address not found on the team's page.,15,0,5,0,62.74,775.0,102.0,882,0.0,88,877.0,1847.0
LP2021,Lincolnia Park,LP,2021,"6501 Montrose St Alexandria, VA 22312",16,5,0,0,36.55,1266.0,212.0,1758,0.0,18,1478.0,3254.0
CSC2021,Commonwealth,CSC,2021,"9800 Commonwealth Blvd Fairfax, VA 22032",16,4,1,0,45.46,1077.0,138.0,1364,0.0,0,1215.0,2579.0
BKS2021,Burke Station,BKS,2021,"5820 Ridge Ford Drive Burke, VA 22015",16,3,2,0,45.28,1068.0,180.0,1568,0.0,68,1248.0,2884.0
LBR2021,Long Branch,LBR,2021,"9100 Burnetta Drive Annandale, VA 22003",16,2,3,0,45.8,1092.0,170.0,1408,0.0,46,1262.0,2716.0
NF2021,Newington Forest,NF,2021,"8201 Southrun Road Springfield, VA 22153",16,1,4,0,60.09,865.0,98.0,924,0.0,0,963.0,1887.0
PV2021,Pleasant Valley,PV,2021,"4347 Cub Run Road Chantilly, VA 20151",16,0,5,0,72.1,737.0,68.0,864,0.0,0,805.0,1669.0
V2021,Village West,V,2021,"7008 Elkton Drive Springfield, VA 22152",17,5,0,0,38.54,1279.0,210.0,1842,0.0,0,1489.0,3331.0
BC2021,Broyhill Crest,BC,2021,"7212 Early Street Annandale, VA 22003",17,4,1,0,44.38,1179.0,144.0,1290,0.0,0,1323.0,2613.0
NS2021,North Springfield,NS,2021,Address not found on the team's page.,17,3,2,0,43.5,1241.0,142.0,1542,0.0,0,1383.0,2925.0
S2021,Springfield,S,2021,"7400 Highland Street Springfield, VA 22150",17,2,3,0,57.4,945.0,110.0,1158,0.0,40,1055.0,2253.0
PW2021,Pinewood Lake,PW,2021,"8159 Fernlake Ct.Alexandria, VA 22309",17,1,4,0,87.18,634.0,56.0,688,0.0,0,690.0,1378.0
EP2021,Edsall Park,EP,2021,"5505 Montgomery St.Springfield, VA 22151",17,0,5,0,365.96,153.0,6.0,178,0.0,0,159.0,337.0
