HSC@MVP202119,HSC@MVP2021,19,Boys,15-18,50,Meters,Back,True
HSC@MVP202121,HSC@MVP2021,21,Boys,8&U,25,Meters,Breast,True
HSC@MVP202123,HSC@MVP2021,23,Boys,9-10,50,Meters,Breast,True
HSC@MVP202125,HSC@MVP2021,25,Boys,11-12,50,Meters,Breast,True
HSC@MVP202127,HSC@MVP2021,27,Boys,13-14,50,Meters,Breast,True
HSC@MVP202129,HSC@MVP2021,29,Boys,15-18,50,Meters,Breast,True
HSC@MVP202131,HSC@MVP2021,31,Boys,8&U,25,Meters,Fly,True
HSC@MVP202133,HSC@MVP2021,33,Boys,9-10,25,Meters,Fly,True
HSC@MVP202135,HSC@MVP2021,35,Boys,11-12,50,Meters,Fly,True
HSC@MVP202137,HSC@MVP2021,37,Boys,13-14,50,Meters,Fly,True
HSC@MVP202139,HSC@MVP2021,39,Boys,15-18,50,Meters,Fly,True
HSC@MVP202141,HSC@MVP2021,41,Boys,8&U,100,Meters,Free,False
HSC@MVP202151,HSC@MVP2021,51,Boys,Age,200,Meters,Free,False
HSC@MVP202143,HSC@MVP2021,43,Boys,9-10,100,Meters,Medley,False
HSC@MVP202145,HSC@MVP2021,45,Boys,11-12,100,Meters,Medley,False
HSC@MVP202147,HSC@MVP2021,47,Boys,13-14,100,Meters,Medley,False
HSC@MVP202149,HSC@MVP2021,49,Boys,15-18,200,Meters,Medley,False
HSC@MVP20212,HSC@MVP2021,2,Girls,8&U,25,Meters,Free,True
HSC@MVP20214,HSC@MVP2021,4,Girls,9-10,50,Meters,Free,True
HSC@MVP20216,HSC@MVP2021,6,Girls,11-12,50,Meters,Free,True
HSC@MVP20218,HSC@MVP2021,8,Girls,13-14,50,Meters,Free,True
HSC@MVP202110,HSC@MVP2021,10,Girls,15-18,50,Meters,Free,True
HSC@MVP202112,HSC@MVP2021,12,Girls,8&U,25,Meters,Back,True
HSC@MVP202114,HSC@MVP2021,14,Girls,9-10,50,Meters,Back,True
HSC@MVP202116,HSC@MVP2021,16,Girls,11-12,50,Meters,Back,True
HSC@MVP202118,HSC@MVP2021,18,Girls,13-14,50,Meters,Back,True
HSC@MVP202120,HSC@MVP2021,20,Girls,15-18,50,Meters,Back,True
HSC@MVP202122,HSC@MVP2021,22,Girls,8&U,25,Meters,Breast,True
HSC@MVP202124,HSC@MVP2021,24,Girls,9-10,50,Meters,Breast,True
HSC@MVP202126,HSC@MVP2021,26,Girls,11-12,50,Meters,Breast,True
HSC@MVP202128,HSC@MVP2021,28,Girls,13-14,50,Meters,Breast,True
HSC@MVP202130,HSC@MVP2021,30,Girls,15-18,50,Meters,Breast,True
HSC@MVP202132,HSC@MVP2021,32,Girls,8&U,25,Meters,Fly,True
HSC@MVP202134,HSC@MVP2021,34,Girls,9-10,25,Meters,Fly,True
HSC@MVP202136,HSC@MVP2021,36,Girls,11-12,50,Meters,Fly,True
HSC@MVP202138,HSC@MVP2021,38,Girls,13-14,50,Meters,Fly,True
HSC@MVP202140,HSC@MVP2021,40,Girls,15-18,50,Meters,Fly,True
HSC@MVP202142,HSC@MVP2021,42,Girls,8&U,100,Meters,Free,False
HSC@MVP202152,HSC@MVP2021,52,Girls,Age,200,Meters,Free,False
HSC@MVP202144,HSC@MVP2021,44,Girls,9-10,100,Meters,Medley,False
HSC@MVP202146,HSC@MVP2021,46,Girls,11-12,100,Meters,Medley,False
HSC@MVP202148,HSC@MVP2021,48,Girls,13-14,100,Meters,Medley,False
HSC@MVP202150,HSC@MVP2021,50,Girls,15-18,200,Meters,Medley,False
MVP@ML20211,MVP@ML2021,1,Boys,8&U,25,Meters,Free,True
MVP@ML20213,MVP@ML2021,3,Boys,9-10,50,Meters,Free,True
MVP@ML20215,MVP@ML2021,5,Boys,11-12,50,Meters,Free,True
MVP@ML20217,MVP@ML2021,7,Boys,13-14,50,Meters,Free,True
MVP@ML20219,MVP@ML2021,9,Boys,15-18,50,Meters,Free,True
MVP@ML202111,MVP@ML2021,11,Boys,8&U,25,Meters,Back,True
MVP@ML202113,MVP@ML2021,13,Boys,9-10,50,Meters,Back,True
MVP@ML202115,MVP@ML2021,15,Boys,11-12,50,Meters,Back,True
MVP@ML202117,MVP@ML2021,17,Boys,13-14,50,Meters,Back,True
MVP@ML202119,MVP@ML2021,19,Boys,15-18,50,Meters,Back,True
MVP@ML202121,MVP@ML2021,21,Boys,8&U,25,Meters,Breast,True
MVP@ML202123,MVP@ML2021,23,Boys,9-10,50,Meters,Breast,True
MVP@ML202125,MVP@ML2021,25,Boys,11-12,50,Meters,Breast,True
MVP@ML202127,MVP@ML2021,27,Boys,13-14,50,Meters,Breast,True
MVP@ML202129,MVP@ML2021,29,Boys,15-18,50,Meters,Breast,True
MVP@ML202131,MVP@ML2021,31,Boys,8&U,25,Meters,Fly,True
MVP@ML202133,MVP@ML2021,33,Boys,9-10,25,Meters,Fly,True
MVP@ML202135,MVP@ML2021,35,Boys,11-12,50,Meters,Fly,True
MVP@ML202137,MVP@ML2021,37,Boys,13-14,50,Meters,Fly,True
MVP@ML202139,MVP@ML2021,39,Boys,15-18,50,Meters,Fly,True
MVP@ML202141,MVP@ML2021,41,Boys,8&U,100,Meters,Free,False
MVP@ML202151,MVP@ML2021,51,Boys,Age,200,Meters,Free,False
MVP@ML202143,MVP@ML2021,43,Boys,9-10,100,Meters,Medley,False
MVP@ML202145,MVP@ML2021,45,Boys,11-12,100,Meters,Medley,False
MVP@ML202147,MVP@ML2021,47,Boys,13-14,100,Meters,Medley,False
MVP@ML202149,MVP@ML2021,49,Boys,15-18,200,Meters,Medley,False
MVP@ML20212,MVP@ML2021,2,Girls,8&U,25,Meters,Free,True
MVP@ML20214,MVP@ML2021,4,Girls,9-10,50,Meters,Free,True
MVP@ML20216,MVP@ML2021,6,Girls,11-12,50,Meters,Free,True
MVP@ML20218,MVP@ML2021,8,Girls,13-14,50,Meters,Free,True
MVP@ML202110,MVP@ML2021,10,Girls,15-18,50,Meters,Free,True
MVP@ML202112,MVP@ML2021,12,Girls,8&U,25,Meters,Back,True
MVP@ML202114,MVP@ML2021,14,Girls,9-10,50,Meters,Back,True
MVP@ML202116,MVP@ML2021,16,Girls,11-12,50,Meters,Back,True
MVP@ML202118,MVP@ML2021,18,Girls,13-14,50,Meters,Back,True
MVP@ML202120,MVP@ML2021,20,Girls,15-18,50,Meters,Back,True
MVP@ML202122,MVP@ML2021,22,Girls,8&U,25,Meters,Breast,True
MVP@ML202124,MVP@ML2021,24,Girls,9-10,50,Meters,Breast,True
MVP@ML202126,MVP@ML2021,26,Girls,11-12,50,Meters,Breast,True
MVP@ML202128,MVP@ML2021,28,Girls,13-14,50,Meters,Breast,True
MVP@ML202130,MVP@ML2021,30,Girls,15-18,50,Meters,Breast,True
MVP@ML202132,MVP@ML2021,32,Girls,8&U,25,Meters,Fly,True
MVP@ML202134,MVP@ML2021,34,Girls,9-10,25,Meters,Fly,True
MVP@ML202136,MVP@ML2021,36,Girls,11-12,50,Meters,Fly,True
MVP@ML202138,MVP@ML2021,38,Girls,13-14,50,Meters,Fly,True
MVP@ML202140,MVP@ML2021,40,Girls,15-18,50,Meters,Fly,True
MVP@ML202142,MVP@ML2021,42,Girls,8&U,100,Meters,Free,False
MVP@ML202152,MVP@ML2021,52,Girls,Age,200,Meters,Free,False
MVP@ML202144,MVP@ML2021,44,Girls,9-10,100,Meters,Medley,False
MVP@ML202146,MVP@ML2021,46,Girls,11-12,100,Meters,Medley,False
MVP@ML202148,MVP@ML2021,48,Girls,13-14,100,Meters,Medley,False
MVP@ML202150,MVP@ML2021,50,Girls,15-18,200,Meters,Medley,False
WC@L20211,WC@L2021,1,Boys,8&U,25,Meters,Free,True
WC@L20213,WC@L2021,3,Boys,9-10,50,Meters,Free,True
WC@L20215,WC@L2021,5,Boys,11-12,50,Meters,Free,True
WC@L20217,WC@L2021,7,Boys,13-14,50,Meters,Free,True
WC@L20219,WC@L2021,9,Boys,15-18,50,Meters,Free,True
WC@L202111,WC@L2021,11,Boys,8&U,25,Meters,Back,True
WC@L202113,WC@L2021,13,Boys,9-10,50,Meters,Back,True
WC@L202115,WC@L2021,15,Boys,11-12,50,Meters,Back,True
WC@L202117,WC@L2021,17,Boys,13-14,50,Meters,Back,True
WC@L202119,WC@L2021,19,Boys,15-18,50,Meters,Back,True
WC@L202121,WC@L2021,21,Boys,8&U,25,Meters,Breast,True
WC@L202123,WC@L2021,23,Boys,9-10,50,Meters,Breast,True
WC@L202125,WC@L2021,25,Boys,11-12,50,Meters,Breast,True
WC@L202127,WC@L2021,27,Boys,13-14,50,Meters,Breast,True
WC@L202129,WC@L2021,29,Boys,15-18,50,Meters,Breast,True
WC@L202131,WC@L2021,31,Boys,8&U,25,Meters,Fly,True
